id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3930559,Casa da Nininha - T1 Bordeaux,20310699,Andre,VALE DE CAMBRA,Roge,40.85625,-8.36086,Entire home/apt,110,2,0,,,7,180,0,
7231016,HEART OF THE CITY 1 !,37860920,Telmo,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13445,-8.60841,Entire home/apt,127,1,446,2024-06-16,4.11,15,108,75,47105/AL
1167210539727872331,Seashore Luxury Getaway: South Coastal Porto,312224717,Feeling Inn,VILA NOVA DE GAIA,Canidelo,41.11574,-8.66199,Entire home/apt,92,28,0,,,11,337,0,Exempt
52700687,Lidador 116 Apartment 1º Piso,426318050,Isabel,VILA DO CONDE,Vila do Conde,41.35104,-8.74306,Entire home/apt,110,1,14,2024-05-03,0.44,3,286,7,120265/AL
12560419,Vila do Conde Beach Flat,68088388,Sentido,VILA DO CONDE,Árvore,41.33403,-8.72419,Entire home/apt,57,5,4,2024-05-20,0.05,2,189,2,
18283683,GuestReady - Downtown suite in Porto,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14725,-8.60596,Entire home/apt,100,1,258,2024-06-16,3.02,145,308,51,36965/AL
879511797806288501,Ando Living - Santa Catarina Townhouse - 302,512029675,Ando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15083,-8.60564,Entire home/apt,188,2,0,,,17,261,0,134015/AL
13099441,Vintage Apartment in Revitalized Historical Building,10509773,Alexandra,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14794,-8.61421,Entire home/apt,77,2,400,2024-06-10,4.08,11,306,54,29258/AL
598385144731391493,"Luxury Artistic House, Downtown Porto near Metro",92797951,Claudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14919,-8.61248,Entire home/apt,78,1,150,2024-06-12,5.64,41,182,75,124658/AL
598500989206457733,A MELHOR ESTADIA DE PORTO 4!!!,230320802,Paulo Ricardo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146675,-8.603778,Private room,49,1,188,2024-05-11,7.04,3,29,50,Exempt
22970027,Invicta Flats - Retro/Wood Tourist Residence,147913427,Invicta,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15166,-8.60472,Entire home/apt,123,1,84,2023-12-28,1.08,4,88,3,62734/AL
947570206068429395,GuestReady - Cosy Hideaway in Vila do Conde,528953074,GuestReady,VILA DO CONDE,Vila do Conde,41.37207106877917,-8.757704112154011,Entire home/apt,85,1,5,2024-05-26,0.51,1,296,5,144057/AL
24699012,BessaApartments 3B-Porto,185229778,Manuela Batista,PORTO,Ramalde,41.16053,-8.64387,Entire home/apt,100,1,26,2024-06-02,0.35,5,295,4,68752/AL
898497693110154078,Art Déco gem in Porto’s heart,63565731,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15113,-8.60608,Entire home/apt,389,2,45,2024-05-27,3.48,34,322,44,128645/AL
817809927331910049,Cosy Studio,61646749,Dasha,PORTO,Lordelo do Ouro e Massarelos,41.15709,-8.64266,Private room,14,37,0,,,1,264,0,Exempt
31301662,Macário Cosy Loft,130805492,Marta,PORTO,Lordelo do Ouro e Massarelos,41.15077590942383,-8.628795623779297,Entire home/apt,58,1,114,2024-06-15,1.74,53,338,37,90431/AL
24245865,Apartment in center of Porto for 6 people,182806546,Travel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15065,-8.60515,Entire home/apt,90,1,14,2018-11-04,0.19,9,0,0,43145/AL
45321256,Minimalistic Downtown Apartment  I,354025501,Oliver,PORTO,Bonfim,41.1416,-8.59773,Entire home/apt,46,28,1,2024-05-17,0.94,6,343,1,106963/AL
920178694179676881,Vibrant Porto Apartments Duplex Apartment,249123452,Miguel & Ilze,PORTO,Bonfim,41.14909479234033,-8.59543824400515,Entire home/apt,61,2,2,2023-09-30,0.17,19,238,2,144590/AL
14444874,Casas de Helena,76982460,Catarina,PORTO,Lordelo do Ouro e Massarelos,41.15447,-8.62917,Entire home/apt,129,2,145,2024-05-12,1.52,1,273,25,33773/AL
11818633,"One Room Duplex with Terrace ""Amena Cavaqueira""",58331055,Rua De Trás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14496,-8.61515,Entire home/apt,136,2,2,2016-08-10,0.02,7,321,0,92550/AL
44303981,A Ver-Mar Casa com Vista,357266519,Franciele,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.4,-8.7759,Private room,20,5,9,2022-11-20,0.27,1,359,0,12345/AL
50533811,PR1 - Caminho do Carteiro,240265828,Márcia,AROUCA,Arouca e Burgo,40.92774,-8.24536,Private room,115,1,3,2023-06-24,0.12,4,234,1,117570/AL
709147647003606453,Pacos Beach House,8667118,Adriano,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.245,-8.72092,Entire home/apt,116,3,15,2024-05-15,1.10,1,299,14,131937/AL
1120959069040083091,casa dos maiores,567848284,Filipe,MAIA,Cidade da Maia,41.250360647569416,-8.596867870699228,Entire home/apt,100,1,0,,,1,270,0,32886135
